Unnamed: 0,session__sessionId,Experiment,Answer,Type,lvlAfter,lvlBefore,Course
0,531,curated,False,curated,0.0,0.0,CS
1,531,curated,False,curated,0.0,0.0,CS
2,531,curated,False,curated,0.0,0.0,CS
3,531,curated,False,curated,0.0,0.0,CS
4,531,curated,False,curated,0.0,0.0,CS
5,862,curated,True,curated,1.0,0.0,CS
6,862,curated,True,curated,1.0,0.0,CS
7,862,curated,False,curated,1.0,0.0,CS
8,862,curated,False,curated,1.0,0.0,CS
9,862,curated,False,curated,1.0,0.0,CS
10,398,curated,True,curated,2.0,1.0,CS
11,398,curated,True,curated,2.0,1.0,CS
12,398,curated,True,curated,2.0,1.0,CS
13,398,curated,True,curated,2.0,1.0,CS
14,398,curated,False,curated,2.0,1.0,CS
15,970,curated,True,curated,4.0,4.0,CS
16,970,curated,True,curated,4.0,4.0,CS
17,970,curated,True,curated,4.0,4.0,CS
18,970,curated,True,curated,4.0,4.0,CS
19,970,curated,True,curated,4.0,4.0,CS
20,1139,curated,True,curated,2.0,1.0,CS
21,1139,curated,False,curated,2.0,1.0,CS
22,1139,curated,False,curated,2.0,1.0,CS
23,1139,curated,True,curated,2.0,1.0,CS
24,1139,curated,True,curated,2.0,1.0,CS
25,56,curated,True,curated,1.0,0.0,CS
26,56,curated,True,curated,1.0,0.0,CS
27,56,curated,True,curated,1.0,0.0,CS
28,56,curated,True,curated,1.0,0.0,CS
29,56,curated,False,curated,1.0,0.0,CS
30,485,curated,False,curated,2.0,2.0,CS
31,485,curated,False,curated,2.0,2.0,CS
32,485,curated,False,curated,2.0,2.0,CS
33,485,curated,False,curated,2.0,2.0,CS
34,485,curated,False,curated,2.0,2.0,CS
35,730,curated,True,curated,2.0,1.0,CS
36,730,curated,True,curated,2.0,1.0,CS
37,730,curated,True,curated,2.0,1.0,CS
38,730,curated,False,curated,2.0,1.0,CS
39,730,curated,False,curated,2.0,1.0,CS
40,1069,curated,True,curated,3.0,3.0,CS
41,1069,curated,True,curated,3.0,3.0,CS
42,1069,curated,True,curated,3.0,3.0,CS
43,1069,curated,True,curated,3.0,3.0,CS
44,1069,curated,True,curated,3.0,3.0,CS
45,593,curated,True,curated,1.0,0.0,CS
46,593,curated,True,curated,1.0,0.0,CS
47,593,curated,True,curated,1.0,0.0,CS
48,593,curated,True,curated,1.0,0.0,CS
49,593,curated,False,curated,1.0,0.0,CS
50,966,curated,True,curated,1.0,0.0,CS
51,966,curated,True,curated,1.0,0.0,CS
52,966,curated,True,curated,1.0,0.0,CS
53,966,curated,True,curated,1.0,0.0,CS
54,966,curated,False,curated,1.0,0.0,CS
55,1090,curated,False,curated,1.0,2.0,CS
56,1090,curated,False,curated,1.0,2.0,CS
57,1090,curated,False,curated,1.0,2.0,CS
58,1090,curated,False,curated,1.0,2.0,CS
59,1090,curated,False,curated,1.0,2.0,CS
60,794,curated,True,curated,4.0,4.0,CS
61,794,curated,True,curated,4.0,4.0,CS
62,794,curated,True,curated,4.0,4.0,CS
63,794,curated,True,curated,4.0,4.0,CS
64,794,curated,False,curated,4.0,4.0,CS
65,426,curated,True,curated,0.0,0.0,CS
66,426,curated,False,curated,0.0,0.0,CS
67,426,curated,False,curated,0.0,0.0,CS
68,426,curated,False,curated,0.0,0.0,CS
69,426,curated,False,curated,0.0,0.0,CS
70,411,curated,True,curated,2.0,2.0,CS
71,411,curated,True,curated,2.0,2.0,CS
72,411,curated,False,curated,2.0,2.0,CS
